Question,Ground Truth Answer,Chatbot Answer
What was Ooredoo's customer churn rate in Qatar?,6%,Ooredoo's customer churn rate in Qatar is 6%. My final answer is 6%.
How much did Kuwait's EBITDA decline due to a one-off bad debt provision?,-10%,"The information indicates that Kuwait's EBITDA decreased by 15% YoY, impacted by one-off bad debt provisions recorded in 2024. When normalizing for these one-off provisions, EBITDA decreased by 2% YoY.

My final answer is 15%."
What was the EBITDA margin for Tunisia in H1 2024?,41%,The EBITDA margin for Tunisia in H1 2024 was 41%. My final answer is 41%.
Which country had the highest data volume growth in H1 2024?,Iraq (+60.09%),"The country that had the highest data volume growth in H1 2024 was Iraq, with a data volume growth rate of 60.09%. 

My final answer is Iraq."
What was Ooredoo's EBITDA for Kuwait in H1 2024?,QAR 406 million,"Apologies, but I do not have enough information. Please ask another query."
How did Myanmar's exit impact Ooredoo's H1 2024 financials?,One-time gain of QAR 118 million,"Myanmar's exit impacted Ooredoo's H1 2024 financials through the reporting of a disposal gain from Ooredoo Myanmar, which contributed to the overall normalized net profit. Specifically, the net profit for H1 2024 was reported at QAR 1,871 million, with a normalized figure slightly lower at QAR 1,861 million. Additionally, there was a foreign exchange impact of QAR 104 million and an impairment of QAR 3 million affecting the results. The disposal resulted in a net impact on profitability, showcasing a solid performance facilitated by managing costs and top-line growth despite the challenges posed by the Myanmar exit.

My final answer is  the disposal led to a gain and influenced normalized net profit, showing a structured financial performance despite associated impacts."
Which Ooredoo market had the highest EBITDA margin?,Maldives (54%),"The Ooredoo market with the highest EBITDA margin is Oman, which has a resilient EBITDA margin of 46%. 

My final answer is 46%."
How much did Ooredoo invest in network expansion in Iraq?,QAR 1.2 billion,"Apologies, but I do not have enough information. Please ask another query."
Which countries showed the highest EBITDA growth in H1 2024?,Iraq and Algeria,"The countries that showed the highest EBITDA growth in H1 2024 are: 

1. Algeria - 21% growth
2. Iraq - 28% growth
3. Oman - 15% growth

My final answer is Algeria, Iraq, and Oman."
What percentage of Ooredoo’s revenue came from mobile services in Qatar?,30%,"The percentage of Ooredoo’s revenue that came from mobile services in Qatar is not explicitly provided in the retrieved information. However, it mentions that revenue decreased due to lower mobile services in a highly competitive environment. 

Apologies, but I do not have enough information. Please ask another query."
Which country had the highest revenue growth in H1 2024?,Iraq (+18%),"The country with the highest revenue growth in H1 2024 was Iraq, reporting a revenue growth of 23% YoY. 

My final answer is Iraq."
What was the free cash flow of Ooredoo in Q2 2024?,QAR 1.9 billion,The free cash flow of Ooredoo in Q2 2024 was QAR 1.9 billion. My final answer is 1.9 billion.
What was Ooredoo’s total revenue for 9M 2024?,QAR 17.7 billion,"Ooredoo's total revenue for 9M 2024 was QAR 17.7 billion, representing a 2% increase year-over-year. My final answer is 17.7 billion."
What was Ooredoo's net profit in 9M 2024?,QAR 2.9 billion,Ooredoo's net profit for 9M 2024 was QAR 2.9 billion. My final answer is QAR 2.9 billion.
What was Ooredoo's free cash flow in 9M 2024?,QAR 5.8 billion,"Ooredoo's free cash flow in 9M 2024 was QAR 5.8 billion, which reflects a decline of 1% year-over-year. My final answer is 5.8 billion."
What was Ooredoo's EBITDA for 9M 2024?,QAR 7.7 billion,"Ooredoo's EBITDA for 9M 2024 was QAR 7.7 billion, reflecting a 4% increase YoY. My final answer is QAR 7.7 billion."
What was the EBITDA margin for 9M 2024?,44%,The EBITDA margin for 9M 2024 was 44%. My final answer is 44%.
What was the revenue growth for Ooredoo in Q3 2024?,+1% YoY,"The revenue growth for Ooredoo in Q3 2024 was +1% year-on-year. 

My final answer is 1%."
Which country had the highest EBITDA growth in Q3 2024?,Algeria (+22%),"Based on the retrieved information, Iraq had the highest EBITDA growth in Q3 2024, with an EBITDA increase of 28%. 

My final answer is 28%."
Which country had the highest revenue growth in Q3 2024?,Iraq (+15%),Iraq had the highest revenue growth in Q3 2024 with a growth rate of 28%. My final answer is Iraq.
What was Ooredoo's total customer base in Q3 2024?,50.7 million (excluding Myanmar),"Ooredoo's total customer base in Q3 2024 was approximately 150.6 million, including IOH customers (excluding Myanmar). 

My final answer is 150.6 million."
How much did Ooredoo raise through bond issuance in Q3 2024?,USD 500 million,Ooredoo raised USD 500 million through bond issuance in Q3 2024. My final answer is 500 million USD.
Which major financial transaction did Ooredoo complete in Q3 2024?,USD 500 million bond issuance,"In Q3 2024, Ooredoo completed a major financial transaction by raising USD 500 million through a 10-year international bond issuance. This bond carries a coupon rate of 4.625% and will be used for general corporate purposes, including refinancing of existing indebtedness. 

My final answer is USD 500 million bond issuance."
What was Ooredoo's net debt/EBITDA ratio in Q3 2024?,0.6x,Ooredoo's net debt/EBITDA ratio in Q3 2024 was 0.6x. My final answer is 0.6x.
What is Ooredoo’s expected Capex investment for FY24?,QAR 3.5 billion,Ooredoo's expected Capex investment for FY24 is approximately QAR 3.5 billion. My final answer is QAR 3.5 billion.
Which countries had completed data center carve-outs by Q3 2024?,"Qatar, Tunisia, Kuwait","By Q3 2024, the countries that had completed data center carve-outs are Qatar, Tunisia, and Kuwait. My final answer is Qatar, Tunisia, and Kuwait."
How much did Ooredoo secure in financing in Q3 2024?,QAR 2 billion,"Ooredoo secured QAR 2 billion in financing through a significant financing deal. Additionally, they raised USD 500 million through bond issuance in Q3 2024. My final answer is QAR 2 billion and USD 500 million."
What is Ooredoo’s dividend payout ratio for 2023?,59.1%,"Ooredoo's dividend payout ratio for 2023 aims to be in the range of 40% to 60% of normalized earnings. The proposed cash dividend was QAR 0.55 per share, and the dividend paid in 2023 was QAR 0.43. Based on this and the aim for the payout ratio, the specific ratio can be estimated, but an exact figure is not provided in the available information.

My final answer is Apologies, but I do not have enough information. Please ask another query."
Which country had the lowest mobile churn rate in Q3 2024?,Kuwait (3%),"The country with the lowest mobile churn rate in Q3 2024 was Kuwait, which had a churn rate of 3%. 

My final answer is Kuwait."
Which region’s financial performance was impacted by war in Q3 2024?,Palestine,The region whose financial performance was impacted by war in Q3 2024 is Palestine. My final answer is Palestine.
What was the revenue growth of Algeria in Q3 2024?,+16%,The revenue growth of Algeria in Q3 2024 was 15% YoY in local currency (LC). My final answer is 15%.
How much did Ooredoo invest in digital transformation in Q3 2024?,QAR 800 million,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest 5G population coverage in Q3 2024?,Qatar (98.95%),"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest data volume growth in Q3 2024?,Iraq (+51.88%),"The country with the highest data volume growth in Q3 2024 was Iraq with a growth percentage of 51.88%. 

My final answer is Iraq."
What percentage of Ooredoo's network traffic in Tunisia was on 4G?,93.22%,The percentage of Ooredoo's network traffic in Tunisia that was on 4G is 93.22%. My final answer is 93.22%.
Which country had the most significant increase in customer base in Q3 2024?,Iraq (+9%),"Apologies, but I do not have enough information. Please ask another query."
How many customers did Ooredoo have in Q3 2024 excluding Myanmar?,50.7 million,"The customer base of Ooredoo in Q3 2024, excluding Myanmar, is 50.7 million. My final answer is 50.7 million."
What percentage of Ooredoo's customer base was in Iraq?,37%,The percentage of Ooredoo's customer base that was in Iraq is 7%. My final answer is 7%.
Which country had the highest Capex intensity in Q3 2024?,Algeria (21%),"Apologies, but I do not have enough information. Please ask another query."
What was the EBITDA margin for Kuwait in Q3 2024?,26%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest digital recharge percentage in Q3 2024?,Qatar (75%),"Based on the provided information, the country with the highest digital recharge percentage in Q3 2024 was Algeria, with a digital recharge rate of 97%. 

My final answer is 97%."
What was the total data volume across Ooredoo’s network in Q3 2024?,5.06 billion GB,"Apologies, but I do not have enough information. Please ask another query."
