Question,Ground Truth Answer,Chatbot Answer
What is Ooredoo's expected total Capex investment for FY24?,QAR 3.5 billion,Ooredoo's expected total Capex investment for FY24 is approximately QAR 3.5 billion. My final answer is 3.5 billion.
Which country had the highest 5G population coverage in H1 2024?,Qatar (98.95%),"Apologies, but I do not have enough information. Please ask another query."
How many customers did Ooredoo have in H1 2024 excluding Myanmar?,49.7 million,Ooredoo had 49.7 million customers in H1 2024 excluding Myanmar. My final answer is 49.7 million.
What percentage of Ooredoo's network traffic was on 4G in Kuwait?,52.14%,The percentage of Ooredoo's network traffic that was on 4G in Kuwait is 50.03%. My final answer is 50.03%.
What was Ooredoo's customer churn rate in Qatar?,6%,"Ooredoo's customer churn rate in Qatar is 6% for mobile and 2% for fixed services. My final answer is 6% (mobile), 2% (fixed)."
How much did Kuwait's EBITDA decline due to a one-off bad debt provision?,-10%,Kuwait's EBITDA decreased by 15% YoY due to a one-off bad debt provision recorded in 2024. My final answer is 15%.
What was the EBITDA margin for Tunisia in H1 2024?,41%,"The EBITDA margin for Tunisia in H1 2024 was 41%, which is an increase of 6 percentage points year-over-year. My final answer is 41%."
Which country had the highest data volume growth in H1 2024?,Iraq (+60.09%),"The country with the highest data volume growth in H1 2024 was Iraq, with a growth percentage of 60.09%. My final answer is Iraq."
What was Ooredoo's EBITDA for Kuwait in H1 2024?,QAR 406 million,"Apologies, but I do not have enough information. Please ask another query."
How did Myanmar's exit impact Ooredoo's H1 2024 financials?,One-time gain of QAR 118 million,"Myanmar's exit had a significant impact on Ooredoo's H1 2024 financials. The disposal of Ooredoo Myanmar's operations was completed on 31 May 2024, and their results up to that date were included in H1 2024 financials. The net profit reported for H1 2024 was affected positively by a one-off gain from the Myanmar disposal, amounting to QAR 118 million. This gain contributed to a normalized net profit of QAR 1.861 billion, which indicates a 14% increase compared to the normalized net profit of QAR 1.625 billion in H1 2023. The inclusion of Myanmar's revenue and EBITDA up until May 2024 also played a role in these results. 

My final answer is 1.861 billion."
Which Ooredoo market had the highest EBITDA margin?,Maldives (54%),"The Ooredoo market with the highest EBITDA margin is the market in Iraq, with an EBITDA margin of 47%. 

My final answer is 47%."
How much did Ooredoo invest in network expansion in Iraq?,QAR 1.2 billion,"Apologies, but I do not have enough information. Please ask another query."
Which countries showed the highest EBITDA growth in H1 2024?,Iraq and Algeria,"The countries that showed the highest EBITDA growth in H1 2024 are:

1. **Algeria** - EBITDA increased by 20% YoY in local currency (LC).
2. **Tunisia** - EBITDA grew by 22% YoY in LC.
3. **Iraq** - EBITDA increased by 19% YoY in local currency (LC).

My final answer is Algeria, Tunisia, and Iraq."
What percentage of Ooredoo’s revenue came from mobile services in Qatar?,30%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest revenue growth in H1 2024?,Iraq (+18%),"The country that had the highest revenue growth in H1 2024 was Iraq, with a revenue growth of 23% YoY. My final answer is Iraq."
What was the free cash flow of Ooredoo in Q2 2024?,QAR 1.9 billion,The free cash flow of Ooredoo in Q2 2024 was QAR 1.9 billion. My final answer is 1.9 billion.
What was Ooredoo’s total revenue for 9M 2024?,QAR 17.7 billion,"Ooredoo's total revenue for 9M 2024 was QAR 17.7 billion, representing a 2% increase year-over-year. My final answer is 17.7 billion QAR."
What was Ooredoo's net profit in 9M 2024?,QAR 2.9 billion,"Ooredoo's net profit for 9M 2024, normalized, was QAR 2.9 billion. My final answer is 2.9 billion QAR."
What was Ooredoo's free cash flow in 9M 2024?,QAR 5.8 billion,"Ooredoo's free cash flow in 9M 2024 was QAR 5.8 billion, which represented a decline of 1% year-over-year. My final answer is QAR 5.8 billion."
What was Ooredoo's EBITDA for 9M 2024?,QAR 7.7 billion,"Ooredoo's EBITDA for 9M 2024 was QAR 7.7 billion, reflecting a growth of 4% year-on-year. My final answer is QAR 7.7 billion."
What was the EBITDA margin for 9M 2024?,44%,The EBITDA margin for 9M 2024 was 46%. My final answer is 46%.
What was the revenue growth for Ooredoo in Q3 2024?,+1% YoY,The revenue growth for Ooredoo in Q3 2024 was 1% YoY. My final answer is 1%.
Which country had the highest EBITDA growth in Q3 2024?,Algeria (+22%),"The country with the highest EBITDA growth in Q3 2024 is Algeria, with an EBITDA growth of 24% YoY in local currency (LC). 

My final answer is Algeria."
Which country had the highest revenue growth in Q3 2024?,Iraq (+15%),"The country with the highest revenue growth in Q3 2024 was Iraq, with a revenue increase of 28% YoY. My final answer is Iraq."
What was Ooredoo's total customer base in Q3 2024?,50.7 million (excluding Myanmar),Ooredoo's total customer base in Q3 2024 was 50.7 million (excluding Myanmar) and 149.4 million including IOH. My final answer is 149.4 million.
How much did Ooredoo raise through bond issuance in Q3 2024?,USD 500 million,Ooredoo raised USD 500 million through bond issuance in Q3 2024. My final answer is 500 million.
Which major financial transaction did Ooredoo complete in Q3 2024?,USD 500 million bond issuance,"On October 10, 2024, Ooredoo completed a USD 500 million, 10-year international bond issuance. My final answer is USD 500 million bond issuance."
What was Ooredoo's net debt/EBITDA ratio in Q3 2024?,0.6x,"Apologies, but I do not have enough information. Please ask another query."
What is Ooredoo’s expected Capex investment for FY24?,QAR 3.5 billion,Ooredoo’s expected Capex investment for FY24 is approximately QAR 3.5 billion. My final answer is 3.5 billion QAR.
Which countries had completed data center carve-outs by Q3 2024?,"Qatar, Tunisia, Kuwait","The countries that had completed data center carve-outs by Q3 2024 are Qatar, Tunisia, and Kuwait. 

My final answer is Qatar, Tunisia, Kuwait."
How much did Ooredoo secure in financing in Q3 2024?,QAR 2 billion,"Ooredoo secured QAR 2 billion through a significant financing deal to accelerate the expansion of its data centre business in Q3 2024. Additionally, Ooredoo raised USD 500 million through bond issuance on October 10, 2024. 

My final answer is QAR 2 billion."
What is Ooredoo’s dividend payout ratio for 2023?,59.1%,"The dividend paid in 2023 was QAR 0.43 per share. The proposed cash dividend for 2023 is QAR 0.55 per share, with a stated dividend payout ratio aiming for a range of 40% to 60% of normalized earnings. 

However, the exact dividend payout ratio for 2023 is not explicitly provided in the retrieved data. 

Apologies, but I do not have enough information. Please ask another query."
Which country had the lowest mobile churn rate in Q3 2024?,Kuwait (3%),"The country with the lowest mobile churn rate in Q3 2024 was Kuwait, with a churn rate of 3%. My final answer is Kuwait."
Which region’s financial performance was impacted by war in Q3 2024?,Palestine,The financial performance of Palestine was impacted by war in Q3 2024. My final answer is Palestine.
What was the revenue growth of Algeria in Q3 2024?,+16%,The revenue growth of Algeria in Q3 2024 was reported as +16% year-over-year (YoY). My final answer is 16%.
How much did Ooredoo invest in digital transformation in Q3 2024?,QAR 800 million,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest 5G population coverage in Q3 2024?,Qatar (98.95%),"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest data volume growth in Q3 2024?,Iraq (+51.88%),"The country with the highest data volume growth in Q3 2024 was Iraq, with a growth rate of 51.88%. My final answer is Iraq."
What percentage of Ooredoo's network traffic in Tunisia was on 4G?,93.22%,"The percentage of Ooredoo's network traffic in Tunisia that was on 4G is 26.41%. 

My final answer is 26.41%."
Which country had the most significant increase in customer base in Q3 2024?,Iraq (+9%),"Apologies, but I do not have enough information. Please ask another query."
How many customers did Ooredoo have in Q3 2024 excluding Myanmar?,50.7 million,"Ooredoo had 50.7 million customers in Q3 2024, excluding Myanmar. My final answer is 50.7 million."
What percentage of Ooredoo's customer base was in Iraq?,37%,The percentage of Ooredoo's customer base that was in Iraq is 7%. My final answer is 7%.
Which country had the highest Capex intensity in Q3 2024?,Algeria (21%),"Apologies, but I do not have enough information. Please ask another query."
What was the EBITDA margin for Kuwait in Q3 2024?,26%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest digital recharge percentage in Q3 2024?,Qatar (75%),"Based on the retrieved information, the country with the highest digital recharge percentage in Q3 2024 was Algeria, with a digital recharge percentage of 97%. 

My final answer is Algeria."
What was the total data volume across Ooredoo’s network in Q3 2024?,5.06 billion GB,"Apologies, but I do not have enough information. Please ask another query. My final answer is N/A."
