Question,Ground Truth Answer,Chatbot Answer
What was the total Capex investment by Ooredoo in H1 2024?,QAR 1.0 billion,"Apologies, but I do not have enough information. Please ask another query."
Which country contributed the most customers to Ooredoo's network in H1 2024?,Iraq,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's reported debt/EBITDA ratio in H1 2024?,0.6x,"Apologies, but I do not have enough information. Please ask another query."
How did Ooredoo's net profit change YoY in H1 2024?,+4% (normalized +14%),"Ooredoo's net profit for H1 2024 reported an increase of 4% compared to H1 2023, with a normalized increase of 14% YoY. The reported net profit for H1 2024 is QAR 1.871 billion. My final answer is 4% increase (normalized 14% increase) YoY."
Which region's revenue was impacted due to war in H1 2024?,Palestine,"The region whose revenue was impacted due to war in H1 2024 is Palestine. 

My final answer is Palestine."
What percentage of Ooredoo's customers were in Iraq?,37%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the lowest mobile churn rate in H1 2024?,Kuwait (3%),"Apologies, but I do not have enough information. Please ask another query."
Which countries had completed data center carve-outs by H1 2024?,"Qatar, Tunisia, Kuwait","The countries that had completed data center carve-outs by H1 2024 are Qatar and Tunisia. Additionally, the Kuwait data center carve-out was completed in July 2024. Other countries are expected to follow in 2024.

My final answer is Qatar and Tunisia."
How much did Ooredoo raise through a financing deal in H1 2024?,QAR 2 billion,"Apologies, but I do not have enough information. Please ask another query."
Which company is Ooredoo collaborating with for AI technology?,NVIDIA,"Ooredoo is collaborating with NVIDIA for AI technology, having signed a pioneering deal to deploy NVIDIA’s advanced AI technology across its data centers. My final answer is NVIDIA."
How much was Ooredoo's bond issuance in H1 2024?,USD 500 million,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's dividend yield in 2023?,5.24%,Ooredoo's dividend yield in 2023 was 4.77%. My final answer is 4.77%.
What is Ooredoo's expected total Capex investment for FY24?,QAR 3.5 billion,Ooredoo's expected total Capex investment for FY24 is approximately QAR 3.5 billion. My final answer is QAR 3.5 billion.
Which country had the highest 5G population coverage in H1 2024?,Qatar (98.95%),"Apologies, but I do not have enough information. Please ask another query."
How many customers did Ooredoo have in H1 2024 excluding Myanmar?,49.7 million,"Apologies, but I do not have enough information. Please ask another query."
What percentage of Ooredoo's network traffic was on 4G in Kuwait?,52.14%,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's customer churn rate in Qatar?,6%,"Apologies, but I do not have enough information. Please ask another query."
How much did Kuwait's EBITDA decline due to a one-off bad debt provision?,-10%,"Kuwait's EBITDA decreased by 10% YoY in local currency (LC) due to a one-off bad debt provision raised in Q1 2024. Normalizing for this one-off provision, EBITDA would have increased by 3% YoY. 

My final answer is 10%."
What was the EBITDA margin for Tunisia in H1 2024?,41%,"The EBITDA margin for Tunisia in H1 2024 was 41%, which represents an increase of 6 percentage points year-over-year. My final answer is 41%."
Which country had the highest data volume growth in H1 2024?,Iraq (+60.09%),"The country with the highest data volume growth in H1 2024 is Iraq, driven by network roll-out expansion. My final answer is Iraq."
What was Ooredoo's EBITDA for Kuwait in H1 2024?,QAR 406 million,"Apologies, but I do not have enough information. Please ask another query."
How did Myanmar's exit impact Ooredoo's H1 2024 financials?,One-time gain of QAR 118 million,"Myanmar's exit impacted Ooredoo's H1 2024 financials by reflecting a major one-off gain from the disposal of Myanmar operations, which was completed on 31 May 2024. Although the H1 2024 results included Myanmar's operations up to that date, the financials also recognized the impairment related to Myanmar. Ooredoo's reported net profit for H1 2024 included a Myanmar disposal gain of QAR 118 million. The normalized net profit for H1 2024, which excludes this one-off and other impacts, increased by 14% to QAR 1.9 billion, highlighting enhanced profitability benefitting from strong operational growth despite the impacts of Myanmar's exit.

My final answer is  Myanmar's exit led to a recognized gain and contributed to Ooredoo's financial performance in H1 2024, alongside operational improvements."
Which Ooredoo market had the highest EBITDA margin?,Maldives (54%),"The Ooredoo market that had the highest EBITDA margin is Algeria, with an EBITDA margin of 53%. My final answer is 53%."
How much did Ooredoo invest in network expansion in Iraq?,QAR 1.2 billion,"Apologies, but I do not have enough information. Please ask another query."
Which countries showed the highest EBITDA growth in H1 2024?,Iraq and Algeria,"Based on the retrieved information, the countries that showed the highest EBITDA growth in H1 2024 are:

1. Algeria - EBITDA up by 21%
2. Qatar - EBITDA up by 6%
3. Iraq - EBITDA up by 6%

My final answer is Algeria, Qatar, and Iraq."
What percentage of Ooredoo’s revenue came from mobile services in Qatar?,30%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest revenue growth in H1 2024?,Iraq (+18%),"Based on the retrieved information, the country with the highest revenue growth in H1 2024 is Algeria, with a revenue growth of 15% YoY. My final answer is Algeria."
What was the free cash flow of Ooredoo in Q2 2024?,QAR 1.9 billion,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo’s total revenue for 9M 2024?,QAR 17.7 billion,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's net profit in 9M 2024?,QAR 2.9 billion,Ooredoo's net profit in 9M 2024 was QAR 2.9 billion. My final answer is 2.9 billion.
What was Ooredoo's free cash flow in 9M 2024?,QAR 5.8 billion,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's EBITDA for 9M 2024?,QAR 7.7 billion,"Ooredoo's EBITDA for 9M 2024 is QAR 1,142 million. My final answer is 1,142 million QAR."
What was the EBITDA margin for 9M 2024?,44%,"The EBITDA margin for 9M 2024 is 44%, which represents an improvement of 1 percentage point compared to the previous period. 

My final answer is 44%."
What was the revenue growth for Ooredoo in Q3 2024?,+1% YoY,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest EBITDA growth in Q3 2024?,Algeria (+22%),"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest revenue growth in Q3 2024?,Iraq (+15%),"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's total customer base in Q3 2024?,50.7 million (excluding Myanmar),"Apologies, but I do not have enough information. Please ask another query."
How much did Ooredoo raise through bond issuance in Q3 2024?,USD 500 million,"Apologies, but I do not have enough information. Please ask another query."
Which major financial transaction did Ooredoo complete in Q3 2024?,USD 500 million bond issuance,"In Q3 2024, Ooredoo secured a QAR 2 billion facility which is the largest transaction ever achieved in the tech industry in the Qatari market. This facility underscores banks and investors' confidence in Ooredoo’s strategy as well as its operational and financial performance. My final answer is QAR 2 billion facility secured."
What was Ooredoo's net debt/EBITDA ratio in Q3 2024?,0.6x,Ooredoo's net debt/EBITDA ratio in Q3 2024 is 0.6x. My final answer is 0.6x.
What is Ooredoo’s expected Capex investment for FY24?,QAR 3.5 billion,Ooredoo’s expected Capex investment for FY24 is approximately QAR 3.5 billion. My final answer is QAR 3.5 billion.
Which countries had completed data center carve-outs by Q3 2024?,"Qatar, Tunisia, Kuwait","Apologies, but I do not have enough information. Please ask another query."
How much did Ooredoo secure in financing in Q3 2024?,QAR 2 billion,Ooredoo secured a QAR 2 billion facility in Q3 2024. My final answer is QAR 2 billion.
What is Ooredoo’s dividend payout ratio for 2023?,59.1%,"The dividend payout ratio can be calculated using the formula:

Dividend Payout Ratio = (Dividends Paid / Earnings) * 100

However, the provided information does not include the earnings figure for Ooredoo in 2023, which is necessary to calculate the dividend payout ratio accurately. 

Apologies, but I do not have enough information. Please ask another query."
Which country had the lowest mobile churn rate in Q3 2024?,Kuwait (3%),"Apologies, but I do not have enough information. Please ask another query."
Which region’s financial performance was impacted by war in Q3 2024?,Palestine,"The region whose financial performance was impacted by war in Q3 2024 is Palestine. 

My final answer is Palestine."
What was the revenue growth of Algeria in Q3 2024?,+16%,The revenue growth of Algeria in Q3 2024 was 15% year-over-year in local currency (LC). My final answer is 15%.
How much did Ooredoo invest in digital transformation in Q3 2024?,QAR 800 million,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest 5G population coverage in Q3 2024?,Qatar (98.95%),"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest data volume growth in Q3 2024?,Iraq (+51.88%),"Apologies, but I do not have enough information. Please ask another query."
What percentage of Ooredoo's network traffic in Tunisia was on 4G?,93.22%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the most significant increase in customer base in Q3 2024?,Iraq (+9%),"Apologies, but I do not have enough information. Please ask another query."
How many customers did Ooredoo have in Q3 2024 excluding Myanmar?,50.7 million,"Apologies, but I do not have enough information. Please ask another query."
What percentage of Ooredoo's customer base was in Iraq?,37%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest Capex intensity in Q3 2024?,Algeria (21%),"The information provided does not specify which country had the highest Capex intensity in Q3 2024. It only mentions Capex percentages for various countries in different contexts. 

My final answer is Apologies, but I do not have enough information. Please ask another query."
What was the EBITDA margin for Kuwait in Q3 2024?,26%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the highest digital recharge percentage in Q3 2024?,Qatar (75%),"Apologies, but I do not have enough information. Please ask another query."
What was the total data volume across Ooredoo’s network in Q3 2024?,5.06 billion GB,"The total data volume across Ooredoo’s network in Q3 2024 was as follows: 

- In Algeria: 1,215,093,416 GB
- In Iraq: 806,648,934 GB

The combined total data volume is:

1,215,093,416 + 806,648,934 = 2,021,742,350 GB.

My final answer is 2,021,742,350 GB."
